"Community.Area.Number","COMMUNITY.AREA.NAME","HARDSHIP.INDEX.SCORE","PERCENT.OF.CROWDED.HOUSING","PERCENT.OF.HOUSEHOLDS.WITH.INCOME.BELOW.POVERTY.LEVEL","UNEMPLOYMENT.RATE.FOR.POPULATION.AGE.16.and.OVER","PERCENT.AGED.25..AND.OVER.WITH.NO.HIGH.SCHOOL.DIPLOMA","PERCENT.POPULATION.UNDER.AGE.18.AND.OVER.AGE.64","PER.CAPITA.INCOME","housing","unemployment","poverty","education","dependency","income","trial7"
33,"Near South Side",14.3,1.9,11.2,4.8,6.5,23.5,65257,8.7248322147651,1.65745856353591,15.0635208711434,8.09248554913295,25.5813953488372,26.4804682529584,14.2666934667288
34,"Armour Square",56.6,4.4,39.1,15.1,33.7,38.3,15858,25.503355704698,30.1104972375691,65.6987295825771,60.5009633911368,68.6046511627907,89.337065784451,56.6258771438704
35,"Douglas",40.7,1.1,32.8,18.4,14.5,29.5,22446,3.35570469798658,39.2265193370166,54.2649727767695,23.5067437379576,43.0232558139535,80.9543198880265,40.721919375285
36,"Oakland",55.4,2.5,41.1,27.6,18.9,39.2,21431,12.751677852349,64.6408839779006,69.3284936479129,31.9845857418112,71.2209302325581,82.2458328031556,55.3620673759479
37,"Fuller Park",64.5,1,45.4,36.5,24,44.5,15730,2.68456375838926,89.2265193370166,77.1324863883848,41.8111753371869,86.6279069767442,89.4999363786741,64.4970980293993
38,"Grand Boulevard",49.6,2.6,32.5,24.3,15.7,38,22225,13.4228187919463,55.524861878453,53.7205081669691,25.8188824662813,67.7325581395349,81.2355261483649,49.5758592652583
39,"Kenwood",34.1,1.6,22.2,14,9.7,34.7,36325,6.71140939597315,27.0718232044199,35.02722323049,14.2581888246628,58.1395348837209,63.2943122534674,34.0837486321224
40,"Washington Park",66.2,5.5,44.3,29.7,21.5,45.4,13532,32.8859060402685,70.4419889502762,75.1361161524501,36.9942196531792,89.2441860465116,92.2967298638504,66.1665244510893
41,"Hyde Park",26,2,21.2,8.3,4.1,26.2,34949,9.39597315436242,11.3259668508287,33.2123411978221,3.46820809248555,33.4302325581395,65.0451711413666,25.9796488325008
42,"Woodlawn",50.9,3.4,34.5,22.3,16.4,37.1,17728,18.7919463087248,50,57.3502722323049,27.1676300578035,65.1162790697674,86.9576281969716,50.897292644262
43,"South Shore",50.3,3.8,33.8,22.6,14.4,36.8,18515,21.4765100671141,50.828729281768,56.0798548094374,23.3140655105973,64.2441860465116,85.9562285278025,50.3165957072051
44,"Chatham",46.6,3,26,22.6,13.1,37.6,20494,16.1073825503356,50.828729281768,41.923774954628,20.8092485549133,66.5697674418605,83.43809644993,46.6128332055725
